date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2025-01-01,2025,1,1,Wednesday,2,False,True,True,False,False,False,1,0
2025-01-02,2025,1,2,Thursday,3,False,False,False,True,True,False,1,1
2025-01-03,2025,1,3,Friday,4,False,True,False,True,False,False,1,0
2025-01-04,2025,1,4,Saturday,5,True,False,False,False,False,False,1,1
2025-01-05,2025,1,5,Sunday,6,True,False,False,False,False,False,1,2
2025-01-06,2025,1,6,Monday,0,False,False,False,True,False,False,1,3
2025-01-07,2025,1,7,Tuesday,1,False,False,False,True,False,False,1,4
2025-01-08,2025,1,8,Wednesday,2,False,False,False,True,False,False,1,5
2025-01-09,2025,1,9,Thursday,3,False,False,False,True,False,False,1,6
2025-01-10,2025,1,10,Friday,4,False,True,False,True,False,False,1,0
2025-01-11,2025,1,11,Saturday,5,True,False,False,False,False,False,1,1
2025-01-12,2025,1,12,Sunday,6,True,False,False,False,False,False,1,2
2025-01-13,2025,1,13,Monday,0,False,False,False,True,False,False,1,3
2025-01-14,2025,1,14,Tuesday,1,False,False,False,True,False,False,1,4
2025-01-15,2025,1,15,Wednesday,2,False,True,False,True,False,False,1,0
2025-01-16,2025,1,16,Thursday,3,False,False,False,True,False,False,2,1
2025-01-17,2025,1,17,Friday,4,False,True,False,True,False,False,2,0
2025-01-18,2025,1,18,Saturday,5,True,False,False,False,False,False,2,1
2025-01-19,2025,1,19,Sunday,6,True,False,False,False,False,False,2,2
2025-01-20,2025,1,20,Monday,0,False,False,False,True,False,False,2,3
2025-01-21,2025,1,21,Tuesday,1,False,False,False,True,False,False,2,4
2025-01-22,2025,1,22,Wednesday,2,False,False,False,True,False,False,2,5
2025-01-23,2025,1,23,Thursday,3,False,False,False,True,False,False,2,6
2025-01-24,2025,1,24,Friday,4,False,True,False,True,False,False,2,0
2025-01-25,2025,1,25,Saturday,5,True,False,False,False,False,False,2,1
2025-01-26,2025,1,26,Sunday,6,True,False,False,False,False,False,2,2
2025-01-27,2025,1,27,Monday,0,False,False,False,True,False,False,2,3
2025-01-28,2025,1,28,Tuesday,1,False,False,False,True,False,False,2,4
2025-01-29,2025,1,29,Wednesday,2,False,False,False,True,False,False,2,5
2025-01-30,2025,1,30,Thursday,3,False,False,False,True,False,False,2,6
2025-01-31,2025,1,31,Friday,4,False,True,False,True,False,False,2,0
2025-02-01,2025,2,1,Saturday,5,True,True,False,False,False,False,1,0
